Economic Sector,Status,Zipcode,Company,Job Title,Origin Country,Pay
Other Economic Sector,Accepted,10022,BLOOMBERG L.P.,Computer Software Engineers; Systems Software,INDIA,85592
Finance,Accepted,10043,CITIBANK; N.A,Computer Software Engineers; Applications,INDIA,117312
Finance,Accepted,10022,VISCOGLIOSI BROS.; LLC,Financial Managers,INDIA,91062
Other Economic Sector,Accepted,10022,BLOOMBERG L.P.,Computer Software Engineers; Applications,INDIA,84885
Other Economic Sector,Accepted,10017,PRICEWATERHOUSECOOPERS,Computer Software Engineers; Applications,INDIA,106018
Finance,Accepted,10022,E*TRADE FINANCIAL CORPORATION,Computer Software Engineers; Applications,INDIA,106018
IT,Accepted,10016,MPHASIS CORPORATION,Computer Software Engineers; Applications,INDIA,84885
Other Economic Sector,Accepted,10010,SHIFT COMMUNICATIONS,Public Relations Specialists,INDIA,84926
Other Economic Sector,Denied,11004,J&B VEGETABLES INC,Financial Analysts,INDIA,111966
Advanced Mfg,Accepted,10154,BRISTOL MYERS SQUIBB COMPANY,Biochemists and Biophysicists,INDIA,50835
Other Economic Sector,Accepted,10022,MCKINSEY & COMPANY; INC UNITED STATES,Operations Research Analysts,INDIA,80059
Finance,Accepted,10036,MORGAN STANLEY & CO. LLC,Computer Software Engineers; Applications,INDIA,88500
Other Economic Sector,Accepted,10003,SUDLER & HENNESSEY,Computer Software Engineers; Applications,ROMANIA,101088
Retail,Withdrawn,11221,HRITHIKA PHARMACY INC,Pharmacists,INDIA,89440
Finance,Accepted,10043,CITICORP NORTH AMERICA INC.,Computer Software Engineers; Applications,INDIA,105373
IT,Accepted,10001,MAJESCOMASTEK,Computer and Information Systems Managers,INDIA,83300
Other Economic Sector,Accepted,11377,MARUFA AHMED,Food Scientists and Technologists,BANGLADESH,67371
Finance,Withdrawn,10036,MORGAN STANLEY & CO. LLC,Computer Software Engineers; Applications,INDIA,117312
Finance,Accepted,10005,MSCI INC.,Operations Research Analysts,CHINA,56950
Other Economic Sector,Accepted,10017,SIMPSON THACHER & BARTLETT LLP,Lawyers,CANADA,166130
Other Economic Sector,Denied,10018,RICHARD MEIER & PARTNERS ARCHITECTS LLP,Architects; Except Landscape and Naval,SOUTH KOREA,70054
IT,Accepted,10016,MPHASIS CORPORATION,Computer Software Engineers; Applications,INDIA,84885
Other Economic Sector,Denied,11106,THERAPEUTIC RESOURCES PHYSICAL THERAPY,Occupational Therapists,PHILIPPINES,63898
Other Economic Sector,Accepted,10022,BLOOMBERG L.P.,Computer Software Engineers; Systems Software,ITALY,85592
Other Economic Sector,Accepted,10022,BLOOMBERG L.P.,Computer Software Engineers; Systems Software,INDIA,85592
Hospitality,Denied,10027,PISTICCI RESTAURANT CORP.,Chefs and Head Cooks,MEXICO,80933
Health Care,Accepted,10029,MOUNT SINAI MEDICAL CENTER,Psychiatrists,UNITED KINGDOM,131300
Finance,Accepted,10017,CHINA HORIZON MANAGEMENT LLC,Financial Analysts,CHINA,136989
Other Economic Sector,Accepted,10017,PRICEWATERHOUSECOOPERS,Operations Research Analysts,INDIA,72654
IT,Accepted,10006,ROUNDARCH,Computer and Information Systems Managers,INDIA,95306
Other Economic Sector,Accepted,10019,MEDICUS GROUP INTERNATIONAL INC.,Advertising and Promotions Managers,INDIA,86445
Finance,Accepted,10004,IRONSHORE MANAGEMENT INC.,Network and Computer Systems Administrators,UNITED KINGDOM,55307
Transportation,Accepted,11422,LATEK LOGISTICS USA; INC.,Transportation Managers,TURKEY,126152
IT,Accepted,10036,SUMMIT SYSTEMS; INC (D/B/A MISYS BANKING SYSTEMS),Computer Systems Analysts,INDIA,103834
Not Available,Accepted,10036,THOMSON REUTERS MARKETS LLC,Computer Systems Analysts,PHILIPPINES,75462
Other Economic Sector,Accepted,10022,BLOOMBERG L.P.,Computer Software Engineers; Systems Software,CHINA,85592
Hospitality,Withdrawn,10003,PROPOSE#101INC,Chefs and Head Cooks,SOUTH KOREA,80933
IT,Accepted,10001,OPENWAVE COMPUTING LLC,Computer Systems Analysts,INDIA,103834
Other Economic Sector,Accepted,10036,METROPOLIS WINE MERCHANTS; INC.,Treasurers; Controllers; and Chief Financial Officers,PHILIPPINES,195499
Finance,Accepted,10005,DEUTSCHE BANK SECURITIES; INC.,Financial Analysts,BRAZIL,86965
Finance,Accepted,10017,IQOR US INC,Statisticians,SRI LANKA,45094
Finance,Accepted,10285,AMERICAN EXPRESS TRAVEL RELATED SERVICES,Financial Examiners,INDIA,76814
Finance,Denied,10271,TOWER INSURANCE COMPANY OF NEW YORK,Actuaries,CHINA,61942
Construction,Withdrawn,11357,SKANSKA USA CIVIL NORTHEAST INC.,Civil Engineers,POLAND,52187.2
Finance,Accepted,10036,MORGAN STANLEY & CO. LLC,Computer Software Engineers; Applications,INDIA,85529.6
Finance,Accepted,10022,MKP CAPITAL MANAGEMENT; L.L.C.,Computer Software Engineers; Applications,CHINA,85529.6
Other Economic Sector,Accepted,10011,BARNES&NOBLE.COM,Market Research Analysts,INDIA,87464
Aerospace,Accepted,10001,AMBROSINO DEPINTO & SCHMIEDER D/B/A ADS ENGINEERS,Electrical Engineers,MALAYSIA,75733
Finance,Accepted,10158,NEUBERGER BERMAN GROUP LLC,Financial Analysts,NIGERIA,67226
Finance,Accepted,10038,CHARTIS OVERSEAS ASSOCIATION,Marketing Managers,TURKEY,121098
Aerospace,Accepted,10036,SYSKA HENNESSY GROUP; INC.,Mechanical Engineers,SOUTH KOREA,100651
Finance,Accepted,10036,MORGAN STANLEY & CO. LLC,Computer Software Engineers; Applications,CHINA,84885
Finance,Accepted,10010,PHOENIX PARTNERS GROUP LP,Operations Research Analysts,UNITED KINGDOM,103085
IT,Accepted,10043,CITIGROUP TECHNOLOGY; INC.,Computer Software Engineers; Applications,INDIA,108368
Finance,Accepted,10036,MORGAN STANLEY & CO. LLC,Operations Research Analysts,CHINA,80059
Finance,Accepted,10019,G2 INVESTMENT GROUP,Graphic Designers,JAPAN,72488
Educational Services,Accepted,11201,WIRELESS GENERATION; INC.,Computer Systems Analysts,INDIA,59613
Other Economic Sector,Withdrawn,10020,LOUIS GLICK DIAMOND CORP,Financial Analysts,ISRAEL,136989
Other Economic Sector,Accepted,10022,RENAISSANCE JEWELRY NEW YORK INC.,Management Analysts,INDIA,none
Hospitality,Denied,11102,ROTI-BOTI RESTAURANT CORP.,Chefs and Head Cooks,PAKISTAN,98842
Educational Services,Accepted,10027,COLUMBIA UNIVERSITY,Network and Computer Systems Administrators,UNITED KINGDOM,60237
Other Economic Sector,Accepted,10022,BLOOMBERG L.P.,Computer Software Engineers; Systems Software,THAILAND,85592
IT,Withdrawn,10005,EBUSINESSWARE; INC.,Computer Software Engineers; Applications,PAKISTAN,84885
Other Economic Sector,Accepted,10022,MCKINSEY & COMPANY; INC UNITED STATES,Management Analysts,FRANCE,99050
Advanced Mfg,Accepted,10022,SONY MUSIC HOLDINGS INC,Computer Software Engineers; Applications,INDIA,91395
Other Economic Sector,Accepted,10022,BLOOMBERG L.P.,Computer Software Engineers; Systems Software,INDIA,85592
IT,Accepted,10018,ACTIMIZE INC,Computer Software Engineers; Applications,INDIA,117312
IT,Accepted,10006,ROUNDARCH,Computer Software Engineers; Applications,CHINA,101088
Other Economic Sector,Accepted,11355,KOREAN PRESBYTERIAN CHURCH OF QUEENS,Clergy,SOUTH KOREA,25106
IT,Accepted,10004,SYNERGY & INTEGRATION INC.,Computer Software Engineers; Applications,INDIA,none
Other Economic Sector,Accepted,10018,LILY AND TAYLOR,Budget Analysts,SOUTH KOREA,46696
Other Economic Sector,Accepted,10022,BLOOMBERG L.P.,Computer Software Engineers; Systems Software,RUSSIA,85592
Other Economic Sector,Accepted,11201,BRAINSTORM DIGITAL; INC.,Multi-Media Artists and Animators,SOUTH KOREA,42390
Finance,Accepted,10019,BARCLAYS CAPITAL INC.,Financial Managers,INDIA,123260.8
Finance,Accepted,10017,ISRAEL DISCOUNT BANK OF NEW YORK,Computer Software Engineers; Applications,INDIA,101088
IT,Accepted,10005,DAILYFEATS; INC.,Chief Executives,CANADA,none
Not Available,Accepted,10036,THOMSON REUTERS MARKETS LLC,Computer Software Engineers; Systems Software,INDIA,120037
IT,Accepted,10001,LANDMARK TECHNOLOGIES INC.,Computer Programmers,INDIA,65582
Other Economic Sector,Accepted,10019,GROUPM,Market Research Analysts,LATVIA,72779
IT,Accepted,10001,LANDMARK TECHNOLOGIES INC.,Computer Programmers,INDIA,65582
IT,Accepted,10018,ACTIMIZE INC,Computer Software Engineers; Applications,INDIA,117312
Other Economic Sector,Accepted,10019,GROUPM,Market Research Analysts,JAMAICA,87277
Other Economic Sector,Accepted,10022,BLOOMBERG L.P.,Computer Software Engineers; Systems Software,CHINA,85592
Other Economic Sector,Accepted,10017,INTERNATIONAL FEDERATION OF ACCOUNTANTS,Auditors,RUSSIA,104562
Other Economic Sector,Denied,11377,DURAND REFRIGERATION CORP.,Electric Home Appliance and Power Tool Repairers,PERU,38293
Finance,Accepted,10018,LIQUIDNET HOLDINGS; INC.,Operations Research Analysts,RUSSIA,57054
IT,Accepted,10018,ACTIMIZE INC,Computer Software Engineers; Applications,INDIA,106018
Other Economic Sector,Accepted,10022,BLOOMBERG L.P.,Computer Software Engineers; Systems Software,INDIA,85592
IT,Denied,11355,SRIVEN INFOSYS INC,Computer Software Engineers; Applications,INDIA,85530
Other Economic Sector,Accepted,10017,GUIDEPOINT GLOBAL,Computer Software Engineers; Applications,INDIA,89086
Other Economic Sector,Accepted,10012,CHINESE-AMERICAN PLANNING COUNCIL; INC.,Child; Family; and School Social Workers,SOUTH KOREA,42931
Finance,Accepted,10019,MACQUARIE HOLDINGS (USA) INC.,Economists,CANADA,64834
Finance,Accepted,10005,FOREX CAPITAL MARKETS,Financial Managers,CANADA,94078.4
Finance,Accepted,10019,BARCLAYS CAPITAL SERVICES INC.,Computer Systems Analysts,INDIA,89086
IT,Accepted,10018,RISK FOCUS INC,Computer Software Engineers; Applications,ALBANIA,117707
Finance,Accepted,10285,AMERICAN EXPRESS TRAVEL RELATED SERVICES,Marketing Managers,INDIA,121098
Other Economic Sector,Accepted,10001,PARK TRANSLATIONS,Interpreters and Translators,JAPAN,54662.4
Finance,Withdrawn,10005,DAIWA SECURITIES AMERICA INC.,Computer Software Engineers; Applications,INDIA,84885
Finance,Accepted,10020,LEHMAN BROTHERS HOLDINGS INC.,Financial Analysts,RUSSIA,61000
Educational Services,Denied,11235,BROOKLYN AMITY SCHOOL,Education Administrators; Elementary and Secondary School,TURKEY,95037
Retail,Denied,11226,GREAT VEGETABLE FARM; INC.,Bookkeeping; Accounting; and Auditing Clerks,SOUTH KOREA,none
Finance,Accepted,10036,METLIFE GROUP; INC.,Actuaries,CHINA,117499
Other Economic Sector,Accepted,10016,SEAMLESS NORTH AMERICA; LLC,Computer Software Engineers; Applications,INDIA,96325
Finance,Accepted,10010,CREDIT SUISSE SECURITIES (USA) LLC,Financial Analysts,INDIA,139505.6
Finance,Accepted,10281,RBC CAPITAL MARKETS; LLC,Financial Analysts,TAIWAN,113859.2
Aerospace,Accepted,10001,ELECTRO-MECHANICAL TECHNICAL GROUP,Electrical Engineers,IRAN,75733
IT,Accepted,10001,MAJESCOMASTEK,Computer and Information Systems Managers,INDIA,83300
IT,Accepted,10018,ACTIMIZE INC,Computer and Information Systems Managers,ISRAEL,123573
Not Available,Denied,10003,ADTECH US; INC.,Sales Engineers,GERMANY,80870
Other Economic Sector,Accepted,10016,FADNER MEDIA ENTERPRISES; LLC D/B/A MEDIA POST COM,Computer Software Engineers; Applications,CHINA,84885
Other Economic Sector,Accepted,10022,BLOOMBERG L.P.,Computer Software Engineers; Applications,UNITED KINGDOM,85530
Finance,Accepted,10158,NEUBERGER BERMAN GROUP LLC,Computer Software Engineers; Applications,INDIA,84885
IT,Accepted,10121,INFORMATION BUILDERS INC.,Computer and Information Systems Managers,INDIA,123573
IT,Accepted,10001,ICT-ENABLE TECHNOLOGY; INC.,Computer Systems Analysts,MALAYSIA,59613
Other Economic Sector,Accepted,10007,MOODYS SHARED SERVICES; INC.,Computer Systems Analysts,INDIA,103834
IT,Withdrawn,10001,MAJESCOMASTEK,Computer and Information Systems Managers,INDIA,83300
IT,Accepted,10016,FADEL PARTNERS INC,Computer Software Engineers; Applications,CHINA,101088
Finance,Accepted,10043,CITIBANK; N.A,Financial Managers; Branch or Department,ARGENTINA,123781
Finance,Accepted,10174,CAPITAL FUND MANAGEMENT INTERNATIONAL INC,Computer Software Engineers; Applications,FRANCE,101088
Other Economic Sector,Accepted,10178,CURTIS; MALLET-PREVOST; COLT & MOSLE LLP,Lawyers,UZBEKISTAN,126838
Finance,Accepted,10043,CITIBANK; N.A,Budget Analysts,INDIA,65894
Finance,Accepted,10010,CREDIT SUISSE SECURITIES (USA) LLC,Operations Research Analysts,CHINA,146411.2
IT,Accepted,10281,NOMURA AMERICA SERVICES; LLC,Computer Systems Analysts,INDIA,103834
Finance,Accepted,10005,MSCI INC.,Financial Analysts,MEXICO,88212.8
Other Economic Sector,Accepted,10036,CBS RADIO SERVICES INC.,Computer Software Engineers; Applications,HONG KONG,101088
Finance,Accepted,10005,MSCI INC.,Financial Analysts,ITALY,119350.4
Finance,Accepted,10022,BLACKROCK FINANCIAL MANAGEMENT,Financial Analysts,KENYA,119184
Finance,Withdrawn,10005,MSCI INC.,Computer Software Engineers; Applications,FRANCE,115876.8
Other Economic Sector,Accepted,10118,RRD USA,Sales Managers,ITALY,198203
Other Economic Sector,Denied,10118,RRD USA,Chief Executives,ITALY,none
Finance,Withdrawn,10005,MSCI INC.,Computer Software Engineers; Systems Software,FRANCE,115876.8
Other Economic Sector,Accepted,10004,MARCOS VALENTIN DEL ROSARIO,Law Clerks,PHILIPPINES,59300.8
Other Economic Sector,Accepted,10004,HUGHES HUBBARD & REED LLP,Lawyers,IRELAND,164070.4
Finance,Accepted,10043,CITIGROUP GLOBAL MARKETS INC.,Financial Managers; Branch or Department,INDIA,80205
Other Economic Sector,Accepted,10022,BLOOMBERG L.P.,Computer Software Engineers; Systems Software,INDIA,85592
Finance,Accepted,10043,CITIGROUP GLOBAL MARKETS INC.,Computer Systems Analysts,INDIA,65707
Finance,Accepted,10036,MORGAN STANLEY & CO. LLC,Computer Software Engineers; Applications,CANADA,117312
Finance,Accepted,10010,CREDIT SUISSE SECURITIES (USA) LLC,Computer Systems Analysts,INDIA,74422.4
Other Economic Sector,Denied,10031,MARTIN SPOLLEN & JIE CHEN,Maids and Housekeeping Cleaners,CHINA,32198
Other Economic Sector,Accepted,10022,BLOOMBERG L.P.,Computer Software Engineers; Systems Software,MEXICO,85592
Finance,Accepted,10017,ITG INC.,Network and Computer Systems Administrators,INDIA,59426
Other Economic Sector,Accepted,10010,TPG ARCHITECTURE; LLP,Interior Designers,JAPAN,80392
Other Economic Sector,Accepted,10022,BLOOMBERG L.P.,Computer Software Engineers; Systems Software,INDIA,85592
Other Economic Sector,Accepted,10017,PRICEWATERHOUSECOOPERS,Operations Research Analysts,CANADA,93891.2
Finance,Accepted,10036,D. E. SHAW & CO.; L.P.,Accountants,BULGARIA,71302
Finance,Accepted,10010,CREDIT SUISSE SECURITIES (USA) LLC,Operations Research Analysts,INDIA,116584
Other Economic Sector,Accepted,10022,BLOOMBERG L.P.,Computer Software Engineers; Systems Software,INDIA,85592
Finance,Accepted,10010,CREDIT SUISSE SECURITIES (USA) LLC,Financial Analysts,INDIA,113859.2
IT,Accepted,10018,ACTIMIZE INC,Computer Software Engineers; Applications,INDIA,106018
Health Care,Accepted,10019,BETH ISRAEL MEDICAL CENTER,Obstetricians and Gynecologists,CANADA,134992
Other Economic Sector,Accepted,10007,BOSCHEN DESIGN; ARCHITECTURE,Architects; Except Landscape and Naval,GERMANY,70054
Automotive,Accepted,11368,EMPIRE STATE AUTO; CORP.,Accountants,SOUTH KOREA,none
Other Economic Sector,Accepted,10013,ROGERS MARVEL ARCHITECTS PLLC,Architects; Except Landscape and Naval,JAPAN,69368
Not Available,Accepted,10006,CARRIERDOMAIN,Network and Computer Systems Administrators,ROMANIA,86008
Finance,Accepted,10004,THE GUARDIAN LIFE INSURANCE CO. OF AMERICA,Computer Systems Analysts,INDIA,105456
IT,Denied,10005,EBUSINESSWARE; INC.,Computer Software Engineers; Applications,INDIA,68661
IT,Accepted,10005,EBUSINESSWARE; INC.,Computer Software Engineers; Applications,INDIA,101088
Finance,Denied,10022,CENTERLINE CAPITAL GROUP,Accountants and Auditors,INDIA,54600
Retail,Accepted,10001,VOGT GALLERY LLC,Public Relations Specialists,COLOMBIA,47900
Finance,Accepted,10022,CANTOR FITZGERALD LP,Computer Software Engineers; Applications,CHINA,85530
Other Economic Sector,Accepted,10022,BLOOMBERG L.P.,Computer Software Engineers; Systems Software,INDIA,85592
Educational Services,Accepted,10022,HSM AMERICAS; INC.,Market Research Analysts,DOMINICAN REPUBLIC,43784
Retail,Accepted,10001,NEW YORK & COMPANY,Marketing Managers,IRELAND,none
Other Economic Sector,Accepted,10022,BLOOMBERG L.P.,Computer Software Engineers; Systems Software,INDIA,85592
Other Economic Sector,Accepted,10004,PRODIGY MANAGEMENT NY,Sales Managers,UNITED KINGDOM,162906
Aerospace,Denied,10036,TECHNICAL OPERATIONS; INC.,Electronics Engineers; Except Computer,PHILIPPINES,100214
IT,Accepted,10005,HUNTER GREEN ASSOCIATES LTD.,Computer Software Engineers; Applications,INDIA,85529.6
Other Economic Sector,Accepted,10017,ANALYTIC PARTNERS; INC.,Computer Software Engineers; Applications,CHINA,85529.6
Other Economic Sector,Accepted,10022,BLOOMBERG L.P.,Computer Software Engineers; Systems Software,INDIA,85592
Finance,Accepted,10110,IMC ASSET MANAGEMENT; INC,Financial Analysts,NETHERLANDS,86965
Finance,Accepted,10005,DEUTSCHE BANK,Financial Managers; Branch or Department,UNITED KINGDOM,91062
Finance,Accepted,10005,DAIWA CAPITAL MARKETS AMERICA INC.,Accountants and Auditors,CHINA,106537.6
IT,Accepted,10019,CBS CORPORATE SERVICES INC,Computer Software Engineers; Applications,INDIA,117707.2
Health Care,Accepted,11378,FRANTISEK VYTYKAC; D.D.S.,Management Analysts,SLOVAKIA,82014.4
Finance,Accepted,10043,CITIBANK; N.A,Database Administrators,INDIA,88005
Finance,Accepted,10043,CITICORP CREDIT SERVICES; INC. (USA),Statisticians,INDIA,48027.2
Other Economic Sector,Accepted,10003,MR YOUTH; LLC,Computer Systems Analysts,INDIA,58905.6
Health Care,Withdrawn,10010,BILINGUALS INC.,Special Education Teachers; Preschool; Kindergarten; and Elementary School,POLAND,56047
Advanced Mfg,Accepted,10154,BRISTOL MYERS SQUIBB COMPANY,Biochemists and Biophysicists,INDIA,66394
Other Economic Sector,Accepted,10017,PRICEWATERHOUSECOOPERS,Operations Research Analysts,GERMANY,68266
Finance,Accepted,10043,CITICORP CREDIT SERVICES; INC. (USA),Statisticians,VENEZUELA,48027.2
Health Care,Withdrawn,10010,BILINGUALS INC.,Speech-Language Pathologists,ARGENTINA,55515
IT,Accepted,10019,CBS CORPORATE SERVICES INC,Computer Systems Analysts,CANADA,97427.2
Retail,Accepted,11221,HRITHIKA PHARMACY INC,Pharmacists,INDIA,75608
Finance,Accepted,10017,JLL PARTNERS INC.,Financial Managers,INDIA,131248
Educational Services,Accepted,10012,NEW YORK UNIVERSITY,Health Specialties Teachers; Postsecondary,BRAZIL,62420
Other Economic Sector,Accepted,10011,BARNES&NOBLE.COM,Computer Software Engineers; Systems Software,UNITED KINGDOM,143582
Other Economic Sector,Accepted,10011,BARNES&NOBLE.COM,Computer Software Engineers; Systems Software,INDIA,143582
Finance,Accepted,10167,RABOBANK NEDERLAND,Financial Analysts,INDIA,111966
Finance,Accepted,10019,BARCLAYS SERVICES CORP,Computer Software Engineers; Applications,CHINA,117707.2
IT,Accepted,10036,RMS COMPUTER CORPORATION,Computer and Information Scientists; Research,INDIA,66123.2
Other Economic Sector,Accepted,10112,NBCUNIVERSAL MEDIA LLC,Program Directors,INDIA,168542
Other Economic Sector,Accepted,10022,BLOOMBERG L.P.,Computer Software Engineers; Systems Software,INDIA,85592
Other Economic Sector,Accepted,10022,BLOOMBERG L.P.,Computer Software Engineers; Systems Software,INDIA,85592
Other Economic Sector,Accepted,10018,LEACHENG INTL.; INC.,Management Analysts,CHINA,78645
Other Economic Sector,Accepted,10022,GRUNFELD; DESIDERIO; LEBOWITZ; SILVERMAN & KLESTAD,Law Clerks,CHINA,46821
Finance,Accepted,10105,FORTRESS INVESTMENT GROUP LLC,Computer Systems Analysts,INDIA,103834
Other Economic Sector,Denied,10128,OLIVIA FLEMING,Nannies,PHILIPPINES,28954
Not Available,Accepted,11377,PROFESSIONAL PLACEMENT & RECRUITMENT INC.,Financial Managers,PHILIPPINES,131248
Other Economic Sector,Denied,11368,EARTHCARE A DBA OF TULLY ENVRIONMENTAL INC.,Accountants and Auditors,INDIA,71905.6
Other Economic Sector,Accepted,10022,BLOOMBERG L.P.,Computer Software Engineers; Systems Software,INDIA,85592
Finance,Accepted,10043,CITICORP CREDIT SERVICES; INC. (USA),Operations Research Analysts,INDIA,41995
Hospitality,Accepted,11222,NEW YEAR TRAVEL; INC,Marketing Managers,SWEDEN,95846.4
IT,Accepted,10018,BAHA INDUSTRIES CORP. DBA OPEN SYSTEMS TECHNOLOGIES,Computer Software Engineers; Applications,INDIA,85529.6
Other Economic Sector,Accepted,10001,YAI/NATIONAL INSTITUTE FOR PEOPLE WITHDISABILITIES,Rehabilitation Counselors,UNITED KINGDOM,23982.4
Hospitality,Denied,10016,JOLLY HOTEL MADISON TOWERS,Lodging Managers,ITALY,81702
Advanced Mfg,Accepted,10001,GABRIELS TECHNOLOGY SOLUTIONS; INC.,Computer Programmers,ESTONIA,65582
Other Economic Sector,Withdrawn,10010,G2 WORLDWIDE INC.,Art Directors,TAIWAN,67600
Finance,Accepted,10019,FIDUCIAL SUPPORT SYSTEMS; INC.,Accountants and Auditors,NIGERIA,74692.8
Advanced Mfg,Accepted,10001,GABRIELS TECHNOLOGY SOLUTIONS; INC.,Computer Programmers,CHINA,65582
Finance,Accepted,10010,CREDIT SUISSE SECURITIES (USA) LLC,Computer Systems Analysts,INDIA,74422.4
Finance,Accepted,10043,CITIGROUP MANAGEMENT CORP.,Financial Managers,INDIA,120536
Other Economic Sector,Accepted,10018,REDAC; INC.,Market Research Analysts,JAPAN,72779
Other Economic Sector,Accepted,10022,BLOOMBERG L.P.,Computer Software Engineers; Applications,INDIA,83990
Other Economic Sector,Accepted,10022,BLOOMBERG L.P.,Computer Software Engineers; Applications,JORDAN,83990
Other Economic Sector,Accepted,10312,AIR PERFECT CORP.,Heating and Air Conditioning Mechanics,UKRAINE,63523
Advanced Mfg,Accepted,10001,THE ICELANDIC MILK AND SKYR CORPORATION,Commercial and Industrial Designers,ICELAND,47715
IT,Accepted,10004,AMERICAN SOFTWARE RESOURCES; INC,Computer Software Engineers; Applications,INDIA,81744
Health Care,Accepted,11203,UNIVERSITY PHYSICIANS OF BROOKLYN,Anesthesiologists,PHILIPPINES,166400
Finance,Accepted,10022,JOHO CAPITAL; L.L.C.,Financial Analysts,JAPAN,139505.6
Other Economic Sector,Accepted,10022,BLOOMBERG L.P.,Computer Software Engineers; Systems Software,INDIA,85592
Other Economic Sector,Accepted,10017,PRICEWATERHOUSECOOPERS,Accountants,CHINA,73216
Finance,Accepted,10019,BARCLAYS SERVICES CORP,Computer Software Engineers; Applications,INDIA,117707.2
Finance,Accepted,10019,BARCLAYS SERVICES CORP,Computer Software Engineers; Applications,INDIA,117707
Health Care,Accepted,11354,BAYSIDE PAIN & REHABILITATION MEDICINE PC,Medical and Health Services Managers,SOUTH KOREA,none
Finance,Accepted,10036,MORGAN STANLEY & CO. LLC,Computer Software Engineers; Applications,INDIA,85529.6
Health Care,Accepted,10010,BILINGUALS INC.,Speech-Language Pathologists,ARGENTINA,55515
Other Economic Sector,Accepted,10022,BLOOMBERG L.P.,Computer Software Engineers; Systems Software,CANADA,85592
IT,Accepted,10001,SKY IT GROUP LLC,Computer Software Engineers; Applications,TAIWAN,117312
Finance,Accepted,10036,MORGAN STANLEY & CO. LLC,Computer Systems Analysts,INDIA,103834
Finance,Accepted,10043,CITIBANK; N.A,Computer Software Engineers; Applications,INDIA,105373
Other Economic Sector,Accepted,11229,THERAPIST NETWORK; INC.,Occupational Therapists,PHILIPPINES,64916.8
Other Economic Sector,Accepted,11229,THERAPIST NETWORK; INC.,Occupational Therapists,PHILIPPINES,64916.8
Retail,Withdrawn,10016,GILT GROUPE; INC.,Marketing Managers,INDIA,192836.8
Finance,Accepted,10005,DEUTSCHE BANK SECURITIES; INC.,Financial Managers; Branch or Department,INDIA,195499
Finance,Accepted,10019,BARCLAYS SERVICES CORP,Computer Software Engineers; Applications,INDIA,117707.2
IT,Accepted,10043,CITIGROUP TECHNOLOGY; INC.,Computer Software Engineers; Applications,INDIA,91312
Other Economic Sector,Accepted,10017,PRICEWATERHOUSECOOPERS,Economists,MEXICO,92914
IT,Accepted,10018,ACTIMIZE INC,Computer Software Engineers; Applications,INDIA,117312
IT,Accepted,10043,CITIGROUP TECHNOLOGY; INC.,Computer Software Engineers; Applications,INDIA,105373
Other Economic Sector,Accepted,10022,BLOOMBERG L.P.,Computer Software Engineers; Systems Software,BELARUS,85592
Finance,Accepted,10036,MERCER (US) INC.,Computer Software Engineers; Applications,INDIA,93912
Finance,Denied,10017,SALIBELLO & BRODER LLP,Accountants and Auditors,CHINA,59737.6
Finance,Accepted,10005,DEUTSCHE BANK,Financial Analysts,NEW ZEALAND,136989
IT,Accepted,11355,V-SOLVE; INC.,Computer Software Engineers; Applications,INDIA,84885
Finance,Accepted,10022,ELEMENT CAPITAL MANAGEMENT LLC,Financial Analysts,INDIA,111966
Other Economic Sector,Accepted,10014,AHUJA PARTNERSHIP ARCHITECTS,Architects; Except Landscape and Naval,INDIA,none
IT,Withdrawn,10001,MAJESCOMASTEK,Computer and Information Systems Managers,INDIA,83300
Finance,Accepted,10022,CANTOR FITZGERALD LP,Computer Software Engineers; Applications,INDIA,117707
Other Economic Sector,Accepted,10153,MICHEL DYENS & CO. LLC,Financial Analysts,UNITED STATES OF AMERICA,113859.2
IT,Accepted,10005,AXELON SERVICES CORPORATION,Computer Software Engineers; Applications,CHINA,85529.6
Finance,Accepted,10017,EISNERAMPER LLP,Accountants and Auditors,PHILIPPINES,106537.6
Finance,Accepted,10017,EISNERAMPER LLP,Accountants and Auditors,TAIWAN,106537.6
IT,Accepted,10007,VERIZON COMMUNICATIONS INC.; & ALL ITS SUBSIDIARIES & AFFILIATES,Computer Software Engineers; Applications,INDIA,81827
Other Economic Sector,Denied,11229,BRAINORAMA INC,Self-Enrichment Education Teachers,RUSSIA,70346
Health Care,Accepted,10065,PARK  AVENUE RADIOLOGISTS;PC,Medical and Clinical Laboratory Technologists,CANADA,55806
Other Economic Sector,Accepted,10017,CONCERN WORLDWIDE (US) INC.,Instructional Coordinators,CANADA,36234
Other Economic Sector,Withdrawn,10018,CHURCH OF REJOICE,Directors; Religious Activities and Education,SOUTH KOREA,33842
IT,Withdrawn,10036,SDL TRIDION INC,Computer Systems Analysts,INDIA,103834
Other Economic Sector,Accepted,10022,BLOOMBERG L.P.,Computer Software Engineers; Systems Software,CHINA,85592
Other Economic Sector,Accepted,10003,AD SAFE MEDIA LTD,Operations Research Analysts,UNITED KINGDOM,56950.4
Finance,Accepted,11222,TWS FINANCIAL; LLC,Economists,VIETNAM,66809.6
Finance,Accepted,10016,COALITION DEVELOPMENT (US) INC.,Financial Analysts,PAKISTAN,61942
Finance,Accepted,10281,NOMURA AMERICA SERVICES; LLC,Computer Software Engineers; Applications,CHINA,84885
